Location,Invasive,Num_Location,Cage_Number,Block,Trophic_Treatment,Plant,Biomass,Goldenrod_StemHeight,Goldenrod_StemCount,Mugwort_StemHeight,Mugwort_StemCount,Grasshopper_Start,Grasshopper_End,Grasshopper_Avg,Temp_MeanDaily,Temp_MeanMax
WaterProp,Mixed,1,1,1,Herbivore,Goldenrod,11.1,56.94,3,43.26,16,5,0,2.5,21.094,29.15
WaterProp,Mixed,2,2,1,Plant,Goldenrod,4.5,39.67,3,34.77,12,0,0,0,21.094,29.15
WaterProp,Mixed,3,3,1,Predator,Goldenrod,16.7,46.51,8,58.21,3,5,0,2.5,21.094,29.15
WaterProp,Mixed,4,4,2,Predator,Goldenrod,13.9,61.59,4,49.08,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,5,5,2,Plant,Goldenrod,5,35.56,2,63.99,9,0,0,0,21.094,29.15
WaterProp,Mixed,6,6,2,Herbivore,Goldenrod,3.7,35.56,3,39.28,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,7,7,3,Herbivore,Goldenrod,13,58.9,4,53.69,11,5,0,2.5,21.094,29.15
WaterProp,Mixed,8,8,3,Predator,Goldenrod,0,0,0,47.43,10,5,1,3,21.094,29.15
WaterProp,Mixed,9,9,3,Plant,Goldenrod,3.4,54,1,50.57,11,0,0,0,21.094,29.15
WaterProp,Mixed,10,10,4,Plant,Goldenrod,3.5,45.08,1,50.16,10,0,0,0,21.094,29.15
WaterProp,Mixed,11,11,4,Herbivore,Goldenrod,9,23.49,2,31.43,4,5,0,2.5,21.094,29.15
WaterProp,Mixed,12,12,4,Predator,Goldenrod,30.1,63.5,6,57.33,14,5,0,2.5,21.094,29.15
WaterProp,Mixed,13,13,5,Herbivore,Goldenrod,36.5,64.86,7,69.37,12,5,0,2.5,21.094,29.15
WaterProp,Mixed,14,14,5,Plant,Goldenrod,9.8,72.39,2,84.88,9,0,0,0,21.094,29.15
WaterProp,Mixed,15,15,5,Predator,Goldenrod,12.9,55.88,4,51.91,4,5,0,2.5,21.094,29.15
WaterProp,Native,16,16,6,Herbivore,Goldenrod,0,29.84,2,0,0,5,2,3.5,21.094,29.15
WaterProp,Native,17,17,6,Plant,Goldenrod,8.5,29.05,4,0,0,0,0,0,21.094,29.15
WaterProp,Native,18,18,6,Predator,Goldenrod,5,42.54,2,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,19,19,7,Plant,Goldenrod,6,42.54,2,0,0,0,0,0,21.094,29.15
WaterProp,Native,20,20,7,Predator,Goldenrod,18.4,37.11,9,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,21,21,7,Herbivore,Goldenrod,11.3,32,5,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,22,22,8,Plant,Goldenrod,19.5,45.72,4,0,0,0,0,0,21.094,29.15
WaterProp,Native,23,23,8,Predator,Goldenrod,3.7,28.1,4,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,24,24,8,Herbivore,Goldenrod,12.9,33.27,5,0,0,5,1,3,21.094,29.15
WaterProp,Native,25,25,9,Predator,Goldenrod,11.5,32.48,7,0,0,5,1,3,21.094,29.15
WaterProp,Native,26,26,9,Herbivore,Goldenrod,10.1,32.26,5,0,0,5,2,3.5,21.094,29.15
WaterProp,Native,27,27,9,Plant,Goldenrod,15.3,37.65,7,0,0,0,0,0,21.094,29.15
WaterProp,Native,28,28,10,Herbivore,Goldenrod,31.8,43.74,8,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,29,29,10,Plant,Goldenrod,33.3,34.03,12,0,0,0,0,0,21.094,29.15
WaterProp,Native,30,30,10,Predator,Goldenrod,15.2,31.83,8,0,0,5,0,2.5,21.094,29.15
Flanders,Mixed,1,46,16,Herbivore,Goldenrod,24.3,33.02,8,43.66,4,5,1,3,21.065,31.83
Flanders,Mixed,2,47,16,Plant,Goldenrod,31.5,24.91,9,29.28,9,0,0,0,21.065,31.83
Flanders,Mixed,3,48,16,Predator,Goldenrod,21,41.02,5,34.92,5,5,1,3,21.065,31.83
Flanders,Mixed,4,49,17,Predator,Goldenrod,33.6,35.56,10,33.91,10,5,0,2.5,21.065,31.83
Flanders,Mixed,5,50,17,Plant,Goldenrod,49.5,30.69,12,35.05,10,0,0,0,21.065,31.83
Flanders,Mixed,6,51,17,Herbivore,Goldenrod,34.3,43.5,6,39.69,12,5,0,2.5,21.065,31.83
Flanders,Mixed,7,52,18,Plant,Goldenrod,25.9,26.67,4,35,8,0,0,0,21.065,31.83
Flanders,Mixed,8,53,18,Predator,Goldenrod,15,31.11,3,34.66,12,5,0,2.5,21.065,31.83
