ID,Site,Species,Lattitude,Longitude,Area,Weight_Saturated,Weight_Dry,LDMC,SLA,Min_Temp,Mean_Temp,Max_Temp
GA1,A,Goldenrod,41.4668992,-72.8595787,485,0.113,0.037,32.7,13.108,15,20.4,25.8
GA2,A,Goldenrod,41.4668992,-72.8595787,389,0.072,0.025,34.7,15.56,15,20.4,25.8
GA3,A,Goldenrod,41.4668992,-72.8595787,407,0.073,0.024,32.9,16.958,15,20.4,25.8
GA4,A,Goldenrod,41.4668992,-72.8595787,287,0.048,0.017,35.4,16.882,15,20.4,25.8
GA5,A,Goldenrod,41.4668992,-72.8595787,432,0.095,0.03,31.6,14.4,15,20.4,25.8
GA6,A,Goldenrod,41.4668992,-72.8595787,442,0.09,0.025,27.8,17.68,15,20.4,25.8
GA7,A,Goldenrod,41.4668992,-72.8595787,651,0.151,0.062,41.1,10.5,15,20.4,25.8
GA8,A,Goldenrod,41.4668992,-72.8595787,366,0.066,0.021,31.8,17.429,15,20.4,25.8
GA9,A,Goldenrod,41.4668992,-72.8595787,453,0.089,0.028,31.5,16.179,15,20.4,25.8
GA10,A,Goldenrod,41.4668992,-72.8595787,453,0.097,0.031,32,14.613,15,20.4,25.8
GB1,B,Goldenrod,41.3351196,-72.7739163,767,0.14,0.038,27.1,20.184,16.3,21,25.6
GB2,B,Goldenrod,41.3351196,-72.7739163,512,0.079,0.025,31.6,20.48,16.3,21,25.6
GB3,B,Goldenrod,41.3351196,-72.7739163,550,0.095,0.027,28.4,20.37,16.3,21,25.6
GB4,B,Goldenrod,41.3351196,-72.7739163,321,0.058,0.017,29.3,18.882,16.3,21,25.6
GB5,B,Goldenrod,41.3351196,-72.7739163,458,0.075,0.021,28,21.81,16.3,21,25.6
GB6,B,Goldenrod,41.3351196,-72.7739163,501,0.081,0.02,24.7,25.05,16.3,21,25.6
GB7,B,Goldenrod,41.3351196,-72.7739163,553,0.104,0.032,30.8,17.281,16.3,21,25.6
GB8,B,Goldenrod,41.3351196,-72.7739163,378,0.074,0.021,28.4,18,16.3,21,25.6
GB9,B,Goldenrod,41.3351196,-72.7739163,316,0.06,0.019,31.7,16.632,16.3,21,25.6
GC1,C,Goldenrod,41.4392642,-72.7845566,387,0.065,0.025,38.5,15.48,15.2,20.5,25.8
GC2,C,Goldenrod,41.4392642,-72.7845566,603,0.106,0.033,31.1,18.273,15.2,20.5,25.8
GC3,C,Goldenrod,41.4392642,-72.7845566,323,0.044,0.02,45.5,16.15,15.2,20.5,25.8
GC4,C,Goldenrod,41.4392642,-72.7845566,344,0.057,0.022,38.6,15.636,15.2,20.5,25.8
GC5,C,Goldenrod,41.4392642,-72.7845566,404,0.066,0.024,36.4,16.833,15.2,20.5,25.8
GC6,C,Goldenrod,41.4392642,-72.7845566,339,0.049,0.019,38.8,17.842,15.2,20.5,25.8
GC7,C,Goldenrod,41.4392642,-72.7845566,372,0.057,0.024,42.1,15.5,15.2,20.5,25.8
