Site,Species,Lattitude,Longitude,Min_Temp,Mean_Temp,Max_Temp,Competitive,Stress,Ruderal
A,Mugwort,41.4668992,-72.8595787,15.0,20.4,25.8,20.3,49.9,29.7
A,Goldenrod,41.4668992,-72.8595787,15.0,20.4,25.8,16.0,64.2,19.9
B,Mugwort,41.3351196,-72.7739163,16.3,21.0,25.6,22.0,47.2,30.9
B,Goldenrod,41.3351196,-72.7739163,16.3,21.0,25.6,16.9,51.7,31.4
C,Mugwort,41.4392642,-72.7845566,15.2,20.5,25.8,17.1,57.8,25.1
C,Goldenrod,41.4392642,-72.7845566,15.2,20.5,25.8,12.8,66.8,20.4
D,Mugwort,41.53071717,-72.72861564,15.2,20.5,25.8,20.1,45.9,34.0
D,Goldenrod,41.53071717,-72.72861564,15.2,20.5,25.8,15.6,54.5,29.9
E,Mugwort,41.50614512,-72.66198473,15.3,20.4,25.6,26.7,24.8,48.6
E,Goldenrod,41.50614512,-72.66198473,15.3,20.4,25.6,17.1,51.1,31.8
F,Mugwort,41.619322,-72.584842,15.3,20.5,25.5,19.8,52.0,28.2
F,Goldenrod,41.619322,-72.584842,15.3,20.5,25.5,14.4,51.8,33.8
G,Mugwort,41.644233,-72.610444,16.1,21.0,26.0,20.5,42.6,36.8
G,Goldenrod,41.644233,-72.610444,16.1,21.0,26.0,13.7,52.4,33.9
H,Mugwort,41.70068,-72.548251,15.2,20.3,25.4,23.1,44.2,32.7
H,Goldenrod,41.70068,-72.548251,15.2,20.3,25.4,15.8,48.5,35.7
I,Mugwort,41.827949,-72.447414,14.9,20.1,25.2,24.2,36.5,39.3
I,Goldenrod,41.827949,-72.447414,14.9,20.1,25.2,15.7,36.7,47.6
J,Mugwort,41.86678,-72.368445,14.7,19.5,24.3,18.1,47.2,34.8
J,Goldenrod,41.86678,-72.368445,14.7,19.5,24.3,12.6,59.5,27.9
K,Mugwort,41.599164,-73.205809,14.3,19.8,25.2,17.2,32.6,50.2
K,Goldenrod,41.599164,-73.205809,14.3,19.8,25.2,13.7,53.3,33.0
