Location,Invasive,Num_Location,Cage_Number,Block,Trophic_Treatment,Plant,Biomass,Goldenrod_StemHeight,Goldenrod_StemCount,Mugwort_StemHeight,Mugwort_StemCount,Grasshopper_Start,Grasshopper_End,Grasshopper_Avg,Temp_MeanDaily,Temp_MeanMax
WaterProp,Mixed,1,1,1,Herbivore,Grass,4.7,56.94,3,43.26,16,5,0,2.5,21.094,29.15
WaterProp,Mixed,1,1,1,Herbivore,Mugwort,34.2,56.94,3,43.26,16,5,0,2.5,21.094,29.15
WaterProp,Mixed,1,1,1,Herbivore,Goldenrod,11.1,56.94,3,43.26,16,5,0,2.5,21.094,29.15
WaterProp,Mixed,1,1,1,Herbivore,Other,15,56.94,3,43.26,16,5,0,2.5,21.094,29.15
WaterProp,Mixed,2,2,1,Plant,Grass,3.8,39.67,3,34.77,12,0,0,0,21.094,29.15
WaterProp,Mixed,2,2,1,Plant,Mugwort,6.7,39.67,3,34.77,12,0,0,0,21.094,29.15
WaterProp,Mixed,2,2,1,Plant,Goldenrod,4.5,39.67,3,34.77,12,0,0,0,21.094,29.15
WaterProp,Mixed,2,2,1,Plant,Other,6.8,39.67,3,34.77,12,0,0,0,21.094,29.15
WaterProp,Mixed,3,3,1,Predator,Grass,3.4,46.51,8,58.21,3,5,0,2.5,21.094,29.15
WaterProp,Mixed,3,3,1,Predator,Mugwort,17.7,46.51,8,58.21,3,5,0,2.5,21.094,29.15
WaterProp,Mixed,3,3,1,Predator,Goldenrod,16.7,46.51,8,58.21,3,5,0,2.5,21.094,29.15
WaterProp,Mixed,3,3,1,Predator,Other,50.7,46.51,8,58.21,3,5,0,2.5,21.094,29.15
WaterProp,Mixed,4,4,2,Predator,Grass,5.3,61.59,4,49.08,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,4,4,2,Predator,Mugwort,33.8,61.59,4,49.08,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,4,4,2,Predator,Goldenrod,13.9,61.59,4,49.08,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,4,4,2,Predator,Other,23.7,61.59,4,49.08,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,5,5,2,Plant,Grass,2.9,35.56,2,63.99,9,0,0,0,21.094,29.15
WaterProp,Mixed,5,5,2,Plant,Mugwort,65.5,35.56,2,63.99,9,0,0,0,21.094,29.15
WaterProp,Mixed,5,5,2,Plant,Goldenrod,5,35.56,2,63.99,9,0,0,0,21.094,29.15
WaterProp,Mixed,5,5,2,Plant,Other,26.7,35.56,2,63.99,9,0,0,0,21.094,29.15
WaterProp,Mixed,6,6,2,Herbivore,Grass,5.5,35.56,3,39.28,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,6,6,2,Herbivore,Mugwort,45.7,35.56,3,39.28,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,6,6,2,Herbivore,Goldenrod,3.7,35.56,3,39.28,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,6,6,2,Herbivore,Other,11.6,35.56,3,39.28,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,7,7,3,Herbivore,Grass,7.5,58.9,4,53.69,11,5,0,2.5,21.094,29.15
WaterProp,Mixed,7,7,3,Herbivore,Mugwort,58.6,58.9,4,53.69,11,5,0,2.5,21.094,29.15
WaterProp,Mixed,7,7,3,Herbivore,Goldenrod,13,58.9,4,53.69,11,5,0,2.5,21.094,29.15
WaterProp,Mixed,7,7,3,Herbivore,Other,77.4,58.9,4,53.69,11,5,0,2.5,21.094,29.15
WaterProp,Mixed,8,8,3,Predator,Grass,9.3,0,0,47.43,10,5,1,3,21.094,29.15
WaterProp,Mixed,8,8,3,Predator,Mugwort,44.8,0,0,47.43,10,5,1,3,21.094,29.15
WaterProp,Mixed,8,8,3,Predator,Goldenrod,0,0,0,47.43,10,5,1,3,21.094,29.15
WaterProp,Mixed,8,8,3,Predator,Other,2.1,0,0,47.43,10,5,1,3,21.094,29.15
WaterProp,Mixed,9,9,3,Plant,Grass,4,54,1,50.57,11,0,0,0,21.094,29.15
WaterProp,Mixed,9,9,3,Plant,Mugwort,42.8,54,1,50.57,11,0,0,0,21.094,29.15
WaterProp,Mixed,9,9,3,Plant,Goldenrod,3.4,54,1,50.57,11,0,0,0,21.094,29.15
WaterProp,Mixed,9,9,3,Plant,Other,23.8,54,1,50.57,11,0,0,0,21.094,29.15
WaterProp,Mixed,10,10,4,Plant,Grass,7.2,45.08,1,50.16,10,0,0,0,21.094,29.15
WaterProp,Mixed,10,10,4,Plant,Mugwort,67,45.08,1,50.16,10,0,0,0,21.094,29.15
WaterProp,Mixed,10,10,4,Plant,Goldenrod,3.5,45.08,1,50.16,10,0,0,0,21.094,29.15
WaterProp,Mixed,10,10,4,Plant,Other,1.6,45.08,1,50.16,10,0,0,0,21.094,29.15
WaterProp,Mixed,11,11,4,Herbivore,Grass,0.9,23.49,2,31.43,4,5,0,2.5,21.094,29.15
WaterProp,Mixed,11,11,4,Herbivore,Mugwort,44.5,23.49,2,31.43,4,5,0,2.5,21.094,29.15
WaterProp,Mixed,11,11,4,Herbivore,Goldenrod,9,23.49,2,31.43,4,5,0,2.5,21.094,29.15
WaterProp,Mixed,11,11,4,Herbivore,Other,11.3,23.49,2,31.43,4,5,0,2.5,21.094,29.15
WaterProp,Mixed,12,12,4,Predator,Grass,2.8,63.5,6,57.33,14,5,0,2.5,21.094,29.15
WaterProp,Mixed,12,12,4,Predator,Mugwort,51,63.5,6,57.33,14,5,0,2.5,21.094,29.15
WaterProp,Mixed,12,12,4,Predator,Goldenrod,30.1,63.5,6,57.33,14,5,0,2.5,21.094,29.15
WaterProp,Mixed,12,12,4,Predator,Other,23.7,63.5,6,57.33,14,5,0,2.5,21.094,29.15
WaterProp,Mixed,13,13,5,Herbivore,Grass,3.3,64.86,7,69.37,12,5,0,2.5,21.094,29.15
WaterProp,Mixed,13,13,5,Herbivore,Mugwort,65.7,64.86,7,69.37,12,5,0,2.5,21.094,29.15
WaterProp,Mixed,13,13,5,Herbivore,Goldenrod,36.5,64.86,7,69.37,12,5,0,2.5,21.094,29.15
WaterProp,Mixed,13,13,5,Herbivore,Other,14,64.86,7,69.37,12,5,0,2.5,21.094,29.15
WaterProp,Mixed,14,14,5,Plant,Grass,5.4,72.39,2,84.88,9,0,0,0,21.094,29.15
WaterProp,Mixed,14,14,5,Plant,Mugwort,124.7,72.39,2,84.88,9,0,0,0,21.094,29.15
WaterProp,Mixed,14,14,5,Plant,Goldenrod,9.8,72.39,2,84.88,9,0,0,0,21.094,29.15
