Location,Invasive,Num_Location,Cage_Number,Block,Trophic_Treatment,Plant,Biomass,Goldenrod_StemHeight,Goldenrod_StemCount,Mugwort_StemHeight,Mugwort_StemCount,Grasshopper_Start,Grasshopper_End,Grasshopper_Avg,Temp_MeanDaily,Temp_MeanMax
WaterProp,Mixed,1,1,1,Herbivore,Grass,4.7,56.94,3,43.26,16,5,0,2.5,21.094,29.15
WaterProp,Mixed,2,2,1,Plant,Grass,3.8,39.67,3,34.77,12,0,0,0,21.094,29.15
WaterProp,Mixed,3,3,1,Predator,Grass,3.4,46.51,8,58.21,3,5,0,2.5,21.094,29.15
WaterProp,Mixed,4,4,2,Predator,Grass,5.3,61.59,4,49.08,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,5,5,2,Plant,Grass,2.9,35.56,2,63.99,9,0,0,0,21.094,29.15
WaterProp,Mixed,6,6,2,Herbivore,Grass,5.5,35.56,3,39.28,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,7,7,3,Herbivore,Grass,7.5,58.9,4,53.69,11,5,0,2.5,21.094,29.15
WaterProp,Mixed,8,8,3,Predator,Grass,9.3,0,0,47.43,10,5,1,3,21.094,29.15
WaterProp,Mixed,9,9,3,Plant,Grass,4,54,1,50.57,11,0,0,0,21.094,29.15
WaterProp,Mixed,10,10,4,Plant,Grass,7.2,45.08,1,50.16,10,0,0,0,21.094,29.15
WaterProp,Mixed,11,11,4,Herbivore,Grass,0.9,23.49,2,31.43,4,5,0,2.5,21.094,29.15
WaterProp,Mixed,12,12,4,Predator,Grass,2.8,63.5,6,57.33,14,5,0,2.5,21.094,29.15
WaterProp,Mixed,13,13,5,Herbivore,Grass,3.3,64.86,7,69.37,12,5,0,2.5,21.094,29.15
WaterProp,Mixed,14,14,5,Plant,Grass,5.4,72.39,2,84.88,9,0,0,0,21.094,29.15
WaterProp,Mixed,15,15,5,Predator,Grass,8.2,55.88,4,51.91,4,5,0,2.5,21.094,29.15
WaterProp,Native,16,16,6,Herbivore,Grass,2.2,29.84,2,0,0,5,2,3.5,21.094,29.15
WaterProp,Native,17,17,6,Plant,Grass,10.2,29.05,4,0,0,0,0,0,21.094,29.15
WaterProp,Native,18,18,6,Predator,Grass,2.9,42.54,2,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,19,19,7,Plant,Grass,10.5,42.54,2,0,0,0,0,0,21.094,29.15
WaterProp,Native,20,20,7,Predator,Grass,7.2,37.11,9,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,21,21,7,Herbivore,Grass,13,32,5,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,22,22,8,Plant,Grass,12.6,45.72,4,0,0,0,0,0,21.094,29.15
WaterProp,Native,23,23,8,Predator,Grass,4.9,28.1,4,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,24,24,8,Herbivore,Grass,8.1,33.27,5,0,0,5,1,3,21.094,29.15
WaterProp,Native,25,25,9,Predator,Grass,9.6,32.48,7,0,0,5,1,3,21.094,29.15
WaterProp,Native,26,26,9,Herbivore,Grass,3.9,32.26,5,0,0,5,2,3.5,21.094,29.15
WaterProp,Native,27,27,9,Plant,Grass,9.7,37.65,7,0,0,0,0,0,21.094,29.15
WaterProp,Native,28,28,10,Herbivore,Grass,5.7,43.74,8,0,0,5,0,2.5,21.094,29.15
WaterProp,Native,29,29,10,Plant,Grass,2.4,34.03,12,0,0,0,0,0,21.094,29.15
WaterProp,Native,30,30,10,Predator,Grass,6.7,31.83,8,0,0,5,0,2.5,21.094,29.15
WaterProp,Invasive,31,31,11,Predator,Grass,10.3,0,0,NA,NA,5,1,3,21.094,29.15
WaterProp,Invasive,32,32,11,Plant,Grass,4.1,0,0,NA,NA,0,0,0,21.094,29.15
WaterProp,Invasive,33,33,11,Herbivore,Grass,10.7,0,0,NA,NA,5,0,2.5,21.094,29.15
WaterProp,Invasive,34,34,12,Plant,Grass,20.8,0,0,NA,NA,0,0,0,21.094,29.15
WaterProp,Invasive,35,35,12,Predator,Grass,16.5,0,0,NA,NA,5,0,2.5,21.094,29.15
WaterProp,Invasive,36,36,12,Herbivore,Grass,6.9,0,0,NA,NA,5,0,2.5,21.094,29.15
WaterProp,Invasive,37,37,13,Herbivore,Grass,11.5,0,0,NA,NA,5,0,2.5,21.094,29.15
WaterProp,Invasive,38,38,13,Plant,Grass,8.7,0,0,NA,NA,0,0,0,21.094,29.15
WaterProp,Invasive,39,39,13,Predator,Grass,16.9,0,0,NA,NA,5,0,2.5,21.094,29.15
WaterProp,Invasive,40,40,14,Predator,Grass,31.2,0,0,NA,NA,5,0,2.5,21.094,29.15
WaterProp,Invasive,41,41,14,Herbivore,Grass,22.7,0,0,NA,NA,5,0,2.5,21.094,29.15
WaterProp,Invasive,42,42,14,Plant,Grass,17.4,0,0,NA,NA,0,0,0,21.094,29.15
WaterProp,Invasive,43,43,15,Herbivore,Grass,5.7,0,0,NA,NA,5,0,2.5,21.094,29.15
WaterProp,Invasive,44,44,15,Plant,Grass,5.1,0,0,NA,NA,0,0,0,21.094,29.15
WaterProp,Invasive,45,45,15,Predator,Grass,1.7,0,0,NA,NA,5,0,2.5,21.094,29.15
Flanders,Mixed,1,46,16,Herbivore,Grass,1.1,33.02,8,43.66,4,5,1,3,21.065,31.83
Flanders,Mixed,2,47,16,Plant,Grass,1.6,24.91,9,29.28,9,0,0,0,21.065,31.83
Flanders,Mixed,3,48,16,Predator,Grass,0,41.02,5,34.92,5,5,1,3,21.065,31.83
Flanders,Mixed,4,49,17,Predator,Grass,0,35.56,10,33.91,10,5,0,2.5,21.065,31.83
Flanders,Mixed,5,50,17,Plant,Grass,0.1,30.69,12,35.05,10,0,0,0,21.065,31.83
Flanders,Mixed,6,51,17,Herbivore,Grass,0.5,43.5,6,39.69,12,5,0,2.5,21.065,31.83
Flanders,Mixed,7,52,18,Plant,Grass,0.4,26.67,4,35,8,0,0,0,21.065,31.83
Flanders,Mixed,8,53,18,Predator,Grass,0,31.11,3,34.66,12,5,0,2.5,21.065,31.83
Flanders,Mixed,9,54,18,Herbivore,Grass,0,24.76,6,28.48,7,5,0,2.5,21.065,31.83
Flanders,Mixed,10,55,19,Predator,Grass,8.1,18.6,7,23.78,9,5,0,2.5,21.065,31.83
Flanders,Mixed,11,56,19,Plant,Grass,13,23.85,7,21.4,10,0,0,0,21.065,31.83
Flanders,Mixed,12,57,19,Herbivore,Grass,7.5,21.75,8,18.03,10,5,0,2.5,21.065,31.83
Flanders,Mixed,13,58,20,Herbivore,Grass,17,22.08,9,23.49,6,5,0,2.5,21.065,31.83
Flanders,Mixed,14,59,20,Plant,Grass,41.9,24.13,12,32,1,0,0,0,21.065,31.83
Flanders,Mixed,15,60,20,Predator,Grass,6.3,25.96,9,22.86,2,5,2,3.5,21.065,31.83
