Location,Invasive,Num_Location,Cage_Number,Block,Trophic_Levels,Plant,Mass,Stem_Height,Stem_Density,Survival,Temp_Mean
WaterProp,Mixed,1,1,1,2,Mugwort,34.2,43.26,16,0,21.09411667
WaterProp,Mixed,2,2,1,1,Mugwort,6.7,34.77,12,NA,21.09411667
WaterProp,Mixed,3,3,1,3,Mugwort,17.7,46.51,8,0,21.09411667
WaterProp,Mixed,4,4,2,3,Mugwort,33.8,49.08,7,0,21.09411667
WaterProp,Mixed,5,5,2,1,Mugwort,65.5,63.99,9,NA,21.09411667
WaterProp,Mixed,6,6,2,2,Mugwort,45.7,39.28,7,0,21.09411667
WaterProp,Mixed,7,7,3,2,Mugwort,58.6,53.69,11,0,21.09411667
WaterProp,Mixed,8,8,3,3,Mugwort,44.8,47.43,10,1,21.09411667
WaterProp,Mixed,9,9,3,1,Mugwort,42.8,50.57,11,NA,21.09411667
WaterProp,Mixed,10,10,4,1,Mugwort,67,50.16,10,NA,21.09411667
WaterProp,Mixed,11,11,4,2,Mugwort,44.5,31.43,4,0,21.09411667
WaterProp,Mixed,12,12,4,3,Mugwort,51,57.33,14,0,21.09411667
WaterProp,Mixed,13,13,5,2,Mugwort,65.7,69.37,12,0,21.09411667
WaterProp,Mixed,14,14,5,1,Mugwort,124.7,84.88,9,NA,21.09411667
WaterProp,Mixed,15,15,5,3,Mugwort,10.3,51.91,4,0,21.09411667
WaterProp,Invasive,31,31,11,3,Mugwort,94.8,75.4,15,1,21.09411667
WaterProp,Invasive,32,32,11,1,Mugwort,53.6,64.51,17,NA,21.09411667
WaterProp,Invasive,33,33,11,2,Mugwort,27.2,45.67,12,0,21.09411667
WaterProp,Invasive,34,34,12,1,Mugwort,21.8,46.21,9,NA,21.09411667
WaterProp,Invasive,35,35,12,3,Mugwort,36,47.34,9,0,21.09411667
WaterProp,Invasive,36,36,12,2,Mugwort,48.1,60.52,10,0,21.09411667
WaterProp,Invasive,37,37,13,2,Mugwort,60.7,52.7,13,0,21.09411667
WaterProp,Invasive,38,38,13,1,Mugwort,45.4,51.59,8,NA,21.09411667
WaterProp,Invasive,39,39,13,3,Mugwort,47.7,37.46,12,0,21.09411667
WaterProp,Invasive,40,40,14,3,Mugwort,18.4,48.61,9,0,21.09411667
WaterProp,Invasive,41,41,14,2,Mugwort,35.2,36.51,10,0,21.09411667
WaterProp,Invasive,42,42,14,1,Mugwort,27.4,47.43,10,NA,21.09411667
WaterProp,Invasive,43,43,15,2,Mugwort,63.5,59.05,12,0,21.09411667
WaterProp,Invasive,44,44,15,1,Mugwort,70.5,66.04,11,NA,21.09411667
WaterProp,Invasive,45,45,15,3,Mugwort,72.5,56.2,16,0,21.09411667
Flanders,Mixed,1,46,16,2,Mugwort,21.1,43.66,4,1,21.06471923
