ID,Site,Species,Lattitude,Longitude,Area,Weight_Saturated,Weight_Dry,LDMC,SLA,Min_Temp,Mean_Temp,Max_Temp
MA1,A,Mugwort,41.4668992,-72.8595787,533,0.107,0.025,23.4,21.32,15,20.4,25.8
MA2,A,Mugwort,41.4668992,-72.8595787,463,0.103,0.026,25.2,17.808,15,20.4,25.8
MA3,A,Mugwort,41.4668992,-72.8595787,516,0.104,0.025,24,20.64,15,20.4,25.8
MA4,A,Mugwort,41.4668992,-72.8595787,311,0.063,0.019,30.2,16.368,15,20.4,25.8
MA5,A,Mugwort,41.4668992,-72.8595787,952,0.208,0.048,23.1,19.833,15,20.4,25.8
MA6,A,Mugwort,41.4668992,-72.8595787,440,0.08,0.019,23.8,23.158,15,20.4,25.8
MA7,A,Mugwort,41.4668992,-72.8595787,940,0.162,0.052,32.1,18.077,15,20.4,25.8
MA8,A,Mugwort,41.4668992,-72.8595787,421,0.081,0.022,27.2,19.136,15,20.4,25.8
MA9,A,Mugwort,41.4668992,-72.8595787,701,0.167,0.071,42.5,9.873,15,20.4,25.8
MA10,A,Mugwort,41.4668992,-72.8595787,644,0.13,0.039,30,16.513,15,20.4,25.8
MB1,B,Mugwort,41.3351196,-72.7739163,555,0.088,0.023,26.1,24.13,16.3,21,25.6
MB2,B,Mugwort,41.3351196,-72.7739163,530,0.094,0.024,25.5,22.083,16.3,21,25.6
MB3,B,Mugwort,41.3351196,-72.7739163,1696,0.255,0.072,28.2,23.556,16.3,21,25.6
MB4,B,Mugwort,41.3351196,-72.7739163,1000,0.12,0.044,36.7,22.727,16.3,21,25.6
MB5,B,Mugwort,41.3351196,-72.7739163,661,0.104,0.028,26.9,23.607,16.3,21,25.6
MB6,B,Mugwort,41.3351196,-72.7739163,836,0.138,0.042,30.4,19.905,16.3,21,25.6
MB7,B,Mugwort,41.3351196,-72.7739163,551,0.089,0.033,37.1,16.697,16.3,21,25.6
MB8,B,Mugwort,41.3351196,-72.7739163,1382,0.265,0.073,27.5,18.932,16.3,21,25.6
