Location,Invasive,Num_Location,Cage_Number,Block,Trophic_Treatment,Plant,Biomass,Goldenrod_StemHeight,Goldenrod_StemCount,Mugwort_StemHeight,Mugwort_StemCount,Grasshopper_Start,Grasshopper_End,Grasshopper_Avg,Temp_MeanDaily,Temp_MeanMax
WaterProp,Mixed,1,1,1,Herbivore,Other,15,56.94,3,43.26,16,5,0,2.5,21.094,29.15
WaterProp,Mixed,2,2,1,Plant,Other,6.8,39.67,3,34.77,12,0,0,0,21.094,29.15
WaterProp,Mixed,3,3,1,Predator,Other,50.7,46.51,8,58.21,3,5,0,2.5,21.094,29.15
WaterProp,Mixed,4,4,2,Predator,Other,23.7,61.59,4,49.08,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,5,5,2,Plant,Other,26.7,35.56,2,63.99,9,0,0,0,21.094,29.15
WaterProp,Mixed,6,6,2,Herbivore,Other,11.6,35.56,3,39.28,7,5,0,2.5,21.094,29.15
WaterProp,Mixed,7,7,3,Herbivore,Other,77.4,58.9,4,53.69,11,5,0,2.5,21.094,29.15
WaterProp,Mixed,8,8,3,Predator,Other,2.1,0,0,47.43,10,5,1,3,21.094,29.15
WaterProp,Mixed,9,9,3,Plant,Other,23.8,54,1,50.57,11,0,0,0,21.094,29.15
WaterProp,Mixed,10,10,4,Plant,Other,1.6,45.08,1,50.16,10,0,0,0,21.094,29.15
WaterProp,Mixed,11,11,4,Herbivore,Other,11.3,23.49,2,31.43,4,5,0,2.5,21.094,29.15
WaterProp,Mixed,12,12,4,Predator,Other,23.7,63.5,6,57.33,14,5,0,2.5,21.094,29.15
WaterProp,Mixed,13,13,5,Herbivore,Other,14,64.86,7,69.37,12,5,0,2.5,21.094,29.15
WaterProp,Mixed,14,14,5,Plant,Other,2.7,72.39,2,84.88,9,0,0,0,21.094,29.15
WaterProp,Mixed,15,15,5,Predator,Other,10.7,55.88,4,51.91,4,5,0,2.5,21.094,29.15
